Title,Developer,Publisher,first_released,region_first_released_in,Excluded,released_in_eu_pal_or_na,Physical_Owned,type_owned
Stuntman,Reflections Interactive,Infogrames,25/06/2002,NA,FALSE,TRUE,TRUE,Base
Stuntman: Ignition,Paradigm Entertainment,THQ,28/08/2007,NA,FALSE,TRUE,TRUE,Base
Stylish Mahjong Usagi,Warashi,D3 Publisher,09/12/2004,JP,TRUE,FALSE,FALSE,
Sub Rebellion,Racjin,"IremJP, Metro3DEU, NA",02/05/2002,JP,FALSE,TRUE,FALSE,
Sudoku,Success,Success,04/12/2003,JP,TRUE,FALSE,FALSE,
Sugar + Spice! Anoko no Suteki na Nanimokamo,Alchemist,Alchemist,25/09/2008,JP,TRUE,FALSE,FALSE,
Sugar Sugar Rune: Koimo Osharemo Pick-Up,Bandai,Bandai,15/12/2005,JP,TRUE,FALSE,FALSE,
Suggoi! Arcana Heart 2,Examu,AQ Interactive,09/04/2009,JP,TRUE,FALSE,FALSE,
Sui-Sui-Sweet,Tactics,Starfish SD,25/12/2003,JP,TRUE,FALSE,FALSE,
Suigetsu Mayoi-Gokoro,KID,KID,28/10/2004,JP,TRUE,FALSE,FALSE,
Suika A.S+ Eternal Name,Circus,Sweets,30/08/2007,JP,TRUE,FALSE,FALSE,
Suikoden III,Konami,Konami,11/07/2002,JP,FALSE,TRUE,FALSE,
Suikoden IV,Konami,Konami,19/08/2004,JP,FALSE,TRUE,FALSE,
Suikoden Tactics,Konami,Konami,22/09/2005,JP,FALSE,TRUE,FALSE,
Suikoden V,Konami,Konami,23/02/2006,JP,FALSE,TRUE,FALSE,
Suki Namono wa Suki Dakarashou Ganai!! First Limit & Target Nights: Sukisyo Episode #1 & #2,Interchannel,Interchannel,25/03/2004,JP,TRUE,FALSE,FALSE,
Suki Namono wa Suki Dakarashou Ganai!! Rain: Sukisyo Episode #3,Interchannel,Interchannel,21/10/2004,JP,TRUE,FALSE,FALSE,
Sukusuku Inufuku,Video System,Hamster Corporation,05/08/2004,JP,TRUE,FALSE,FALSE,
Summer Athletics,49Games,"Conspiracy EntertainmentNA, DTP EntertainmentEU",29/07/2008,NA,FALSE,TRUE,FALSE,
Summer Heat Beach Volleyball,Acclaim Studios Cheltenham,Acclaim Entertainment,01/07/2003,NA,FALSE,TRUE,FALSE,
Summon Night 3,Flight-Plan,Banpresto,07/08/2003,JP,TRUE,FALSE,FALSE,
Summon Night 4,Flight-Plan,Banpresto,30/11/2006,JP,TRUE,FALSE,FALSE,
Summon Night EX-Thesis: Yoake no Tsubasa,Flight-Plan,Banpresto,04/08/2005,JP,TRUE,FALSE,FALSE,
Summon Night Gran-These: Horobi no Tsurugi to Yakusoku no Kishi,Flight-Plan,Banpresto,11/03/2010,JP,TRUE,FALSE,FALSE,
Summoner,Volition,THQ,24/10/2000,NA,FALSE,TRUE,FALSE,
Summoner 2,Volition,THQ,23/09/2002,NA,FALSE,TRUE,FALSE,
Sumomo mo Momo mo: Chijou Saikyou no Yome,Marvelous Entertainment,Marvelous Entertainment,21/06/2007,JP,TRUE,FALSE,FALSE,
Sunny Garcia Surfing,Krome Studios,Ubisoft,22/10/2001,NA,FALSE,TRUE,FALSE,
Sunrise Eiyuutan 2,Atelier-Sai,Sunrise Interactive,20/12/2001,JP,TRUE,FALSE,FALSE,
Sunrise Eiyuutan 3,Sunrise Interactive,Sunrise Interactive,01/06/2006,JP,TRUE,FALSE,FALSE,
Sunrise Eiyuutan R,Atelier-Sai,Sunrise Interactive,22/11/2000,JP,TRUE,FALSE,FALSE,
Sunrise World War,Atelier-Sai,Bandai,25/09/2003,JP,TRUE,FALSE,FALSE,
Sunsoft Collection,SNK Playmore,SNK Playmore,26/06/2008,JP,TRUE,FALSE,FALSE,
Super Bust-A-Move,Taito,"TaitoJP, Acclaim EntertainmentEU, NA",28/09/2000,JP,FALSE,TRUE,FALSE,
Super Bust-A-Move 2,Taito,"TaitoJP, UbisoftEU, NA",19/09/2002,JP,FALSE,TRUE,FALSE,
Super Dragon Ball Z,Crafts & Meister,"BanprestoJP, AtariNA, PAL",29/06/2006,JP,FALSE,TRUE,FALSE,
Super Farm,Asobo Studio,Ignition Entertainment,17/10/2003,EU,FALSE,TRUE,FALSE,
Super Fruit Fall,SLAM Productions,System 3,01/09/2006,EU,FALSE,TRUE,FALSE,
Super Galdelic Hour,Enix,Enix,29/03/2001,JP,TRUE,FALSE,FALSE,
Super Micchan,Jaleco,Jaleco,26/04/2001,JP,TRUE,FALSE,FALSE,
Super Monkey Ball Adventure,Traveller's Tales,Sega,30/06/2006,EU,FALSE,TRUE,FALSE,
Super Monkey Ball Deluxe,Sega,Sega,15/03/2005,NA,FALSE,TRUE,FALSE,
Super PickUps,Milestone srl,XS Games,25/09/2007,NA,FALSE,TRUE,FALSE,
Super Robot Wars Alpha Premium Edition,Bandai,Banpresto,28/07/2005,JP,TRUE,FALSE,FALSE,
Super Robot Wars Impact,Banpresto,Banpresto,28/03/2002,JP,TRUE,FALSE,FALSE,
Super Robot Wars MX,Banpresto,Banpresto,27/05/2004,JP,TRUE,FALSE,FALSE,
Super Robot Wars Original Generation Gaiden,Banpresto,Banpresto,24/12/2007,AS,TRUE,FALSE,FALSE,
Super Robot Wars Original Generations,Banpresto,Banpresto,26/06/2007,AS,TRUE,FALSE,FALSE,
Super Robot Wars Z,Banpresto,Banpresto,25/09/2008,JP,TRUE,FALSE,FALSE,
Super Robot Wars Z Special Disc,Banpresto,Bandai Namco Games,05/03/2009,JP,TRUE,FALSE,FALSE,
Super Robot Wars: Scramble Commander,Banpresto,Banpresto,06/11/2003,JP,TRUE,FALSE,FALSE,
Super Robot Wars: Scramble Commander the 2nd,Banpresto,Banpresto,01/11/2007,JP,TRUE,FALSE,FALSE,
Super Rugby League 2,Sidhe Interactive,Tru Blu Entertainment,08/12/2005,AU,FALSE,TRUE,FALSE,
Super Shanghai 2005,Starfish SD,Starfish SD,25/11/2004,JP,TRUE,FALSE,FALSE,
Super Trucks Racing,Jester Interactive,"Jester InteractiveEU, XS GamesNA, SuccessJP",28/06/2002,EU,FALSE,TRUE,FALSE,
Super-Bikes: Riding Challenge,Milestone srl,Black Bean Games,15/09/2006,EU,FALSE,TRUE,FALSE,
Superbike GP,Phoenix Games,Phoenix Games,2006,EU,FALSE,TRUE,FALSE,
Supercar Street Challenge,Exakt Entertainment,Activision,22/10/2001,NA,FALSE,TRUE,FALSE,
Superman Returns,EA Tiburon,Electronic Arts,20/11/2006,NA,FALSE,TRUE,FALSE,
Superman: Shadow of Apokolips,Infogrames Sheffield,Infogrames,25/09/2002,NA,FALSE,TRUE,FALSE,
Surf's Up,Ubisoft Montreal,Ubisoft,30/05/2007,NA,FALSE,TRUE,FALSE,
Surfing Air Show with RatBoy,Now Production,Now Production,18/07/2002,JP,TRUE,FALSE,FALSE,
Surfing H3O,Opus,"ASCII CorporationJP, Rockstar GamesEU, NA",10/08/2000,JP,FALSE,TRUE,FALSE,
Surveillance Kanshisha,Sony Computer Entertainment,Sony Computer Entertainment,25/04/2002,JP,TRUE,FALSE,FALSE,
Suzuki Super-bikes II: Riding Challenge,Milestone srl,Valcon Games,07/11/2006,NA,FALSE,TRUE,FALSE,
Suzumiya Haruhi no Tomadoi,Banpresto,Banpresto,31/01/2008,JP,TRUE,FALSE,FALSE,
Suzunone Seven: Rebirth Knot,Alchemist,Alchemist,27/05/2010,JP,TRUE,FALSE,FALSE,
SVC Chaos: SNK vs. Capcom,SNK Playmore,"SNK PlaymoreJP, Ignition EntertainmentEU",25/12/2003,JP,FALSE,TRUE,FALSE,
Sven-Göran Eriksson's World Challenge,Anco Software,3DO,24/05/2002,EU,FALSE,TRUE,FALSE,
Sven-Goran Eriksson's World Cup Manager,Anco Software,3DO,28/06/2002,EU,FALSE,TRUE,FALSE,
Swashbucklers: Blue vs. Grey,Akella,Atari,20/11/2007,NA,FALSE,TRUE,FALSE,
SWAT: Global Strike Team,Argonaut Games,Sierra Entertainment,29/10/2003,NA,FALSE,TRUE,FALSE,
SWAT: Siege,Phoenix Games,Phoenix Games,24/11/2006,EU,FALSE,TRUE,FALSE,
Sweet Legacy,Frontwing,Pacific Century Cyber Works,26/12/2002,JP,TRUE,FALSE,FALSE,
Sweet Season,Takuyo,Takuyo,31/03/2005,JP,TRUE,FALSE,FALSE,
SweetHoneyComing,Kadokawa Games,Kadokawa Games,03/09/2009,JP,TRUE,FALSE,FALSE,
Swing Away Golf,T&E Soft,"T&E SoftJP, Electronic ArtsEU, NA",23/03/2000,JP,FALSE,TRUE,FALSE,
Switch,Sega,Sega,29/08/2002,JP,TRUE,FALSE,FALSE,
Sword of the Samurai,Genki,"GenkiJP, UbisoftEU",27/06/2002,JP,FALSE,TRUE,FALSE,
Swords of Destiny,Artoon,Marvelous Entertainment,17/02/2005,JP,FALSE,TRUE,FALSE,
SX Superstar,Climax Studios,Acclaim Entertainment,04/07/2003,EU,FALSE,TRUE,FALSE,
Syberia,Microids,Microids,28/03/2003,EU,FALSE,TRUE,FALSE,
Syberia II,Microids,Ubisoft,26/11/2004,EU,FALSE,TRUE,FALSE,
Syphon Filter: Dark Mirror,Bend Studio,Sony Computer Entertainment,18/09/2007,NA,FALSE,TRUE,FALSE,
Syphon Filter: Logan's Shadow,Bend Studio,Sony Computer Entertainment,02/06/2010,NA,FALSE,TRUE,FALSE,
Syphon Filter: The Omega Strain,Bend Studio,Sony Computer Entertainment,04/05/2004,NA,FALSE,TRUE,FALSE,
"Taiheiyou no Arashi: Senkan Yamato, Akatsuki ni Shutsugekisu",SystemSoft,SystemSoft,31/01/2008,JP,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Appare Sandaime,Namco,Namco,28/10/2003,AS,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Atsumare! Matsuri Da!! Yondaime,Namco,Namco,22/07/2004,JP,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Doka! to Oomori Nanadaime,Namco,Namco,05/12/2006,AS,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Doki! Shinkyoku Darake no Haru Matsuri,Namco,Namco,27/03/2003,JP,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Go! Go! Godaime,Namco,Namco,07/12/2004,AS,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Tatakon de Dodon ga Don,Namco,Namco,24/10/2002,JP,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Tobikkiri! Anime Special,Namco,Namco,02/08/2005,AS,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Wai Wai Happy Rokudaime,Namco,Namco,06/12/2005,AS,TRUE,FALSE,FALSE,
Taiko no Tatsujin: Waku Waku Anime Matsuri,Namco,Namco,18/12/2003,JP,TRUE,FALSE,FALSE,
Taiko: Drum Master,Namco,Namco,26/10/2004,NA,FALSE,TRUE,FALSE,
Taikou Risshiden IV,Koei,Koei,29/11/2001,JP,TRUE,FALSE,FALSE,
Taikou Risshiden V,Koei,Koei,26/08/2004,JP,TRUE,FALSE,FALSE,
Taikyoku Mahjong: Net de Ron!,Arika,Arika,20/12/2001,JP,TRUE,FALSE,FALSE,
Taisen Hot Gimmick: Axes-Jong,Psikyo,X-Nauts,28/04/2005,JP,TRUE,FALSE,FALSE,
Taisen Hot Gimmick: Cosplay-jong,Psikyo,X-Nauts,29/04/2004,JP,TRUE,FALSE,FALSE,
Taisen! Bakutama Poi Poi,Psikyo,D3 Publisher,26/02/2004,JP,TRUE,FALSE,FALSE,
Taisen(1) Shogi,Mycom,Mycom,25/03/2004,JP,TRUE,FALSE,FALSE,
Taisen(2) Igo,Mycom,Mycom,25/03/2004,JP,TRUE,FALSE,FALSE,
Taisen(3) Mahjong,Mycom,Mycom,25/03/2004,JP,TRUE,FALSE,FALSE,
Taisen(4) Soldier,Mycom,Mycom,25/03/2004,JP,TRUE,FALSE,FALSE,
Taishou Mononoke Ibunroku,Gust Co. Ltd.,Gust Co. Ltd.,27/02/2003,JP,TRUE,FALSE,FALSE,
Taito Legends,Empire Interactive,"Empire InteractiveEU, SegaNA, TaitoKO",14/10/2005,EU,FALSE,TRUE,TRUE,Base
Taito Legends 2,Empire Interactive,"Empire InteractivePAL, DestineerNA",30/03/2006,PAL,FALSE,TRUE,TRUE,Base
Taito Memories Gekan,Taito,Taito,25/08/2005,JP,TRUE,FALSE,FALSE,
Taito Memories II Gekan,Taito,Taito,29/03/2007,JP,TRUE,FALSE,FALSE,
Taito Memories II Joukan,Taito,Taito,28/07/2005,JP,TRUE,FALSE,FALSE,
Taito Memories Joukan,Taito,Taito,25/01/2007,JP,TRUE,FALSE,FALSE,
Tak 2: The Staff of Dreams,Avalanche Software,THQ,11/10/2004,NA,FALSE,TRUE,FALSE,
Tak and the Guardians of Gross,Blitz Games,THQ,13/10/2008,NA,FALSE,TRUE,FALSE,
Tak and the Power of Juju,Avalanche Software,THQ,15/10/2003,NA,FALSE,TRUE,FALSE,
Tak: The Great Juju Challenge,Avalanche Software,THQ,19/09/2005,NA,FALSE,TRUE,FALSE,
Takahashi Naoko no Marathon Shiyouyo!,Taito,Taito,13/11/2003,JP,TRUE,FALSE,FALSE,
Tales of Destiny,Namco Tales Studio,Namco,30/11/2006,JP,TRUE,FALSE,FALSE,
Tales of Destiny 2,"Telenet Japan, Wolfteam","NamcoJP, Sony Computer EntertainmentKO",28/11/2002,JP,TRUE,FALSE,FALSE,
Tales of Destiny: Director's Cut,Namco Tales Studio,Bandai Namco Games,31/01/2008,JP,TRUE,FALSE,FALSE,
Tales of Fandom Vol. 2,Namco Tales Studio,Bandai Namco Games,28/06/2007,JP,TRUE,FALSE,FALSE,
Tales of Legendia,Namco Tales Studio,"NamcoAS, JP, NA, Sony Computer EntertainmentKO",25/08/2005,JP,FALSE,TRUE,FALSE,
Tales of Rebirth,Namco Tales Studio,Namco,16/12/2004,JP,TRUE,FALSE,FALSE,
Tales of Symphonia,Namco Tales Studio,Namco,22/09/2004,JP,TRUE,FALSE,FALSE,
Tales of the Abyss,Namco Tales Studio,Namco,15/12/2005,JP,FALSE,TRUE,FALSE,
Tam Tam Paradise,Global A,Global A,09/08/2001,JP,TRUE,FALSE,FALSE,
Tamayura,Yeti,Yeti,29/06/2006,JP,TRUE,FALSE,FALSE,
Tank Elite,Vingt-et-un Systems,"D3 PublisherJP, AgetecEU",26/06/2003,JP,FALSE,TRUE,FALSE,
Tantei Gakuen Q,Konami,Konami,18/12/2003,JP,TRUE,FALSE,FALSE,
Tantei Jinguuji Saburou: Innocent Black,WorkJam,WorkJam,24/10/2002,JP,TRUE,FALSE,FALSE,
Tantei Jinguuji Saburou: Kind of Blue,WorkJam,WorkJam,22/04/2004,JP,TRUE,FALSE,FALSE,
Taxi 3,Ubisoft Montreal,Ubisoft,23/02/2003,EU,FALSE,TRUE,FALSE,
Taxi Rider,Tamsoft,"D3 PublisherJP, 505 Game StreetEU",08/04/2004,JP,FALSE,TRUE,FALSE,
Taz Wanted,Blitz Games,Infogrames,17/09/2002,NA,FALSE,TRUE,FALSE,
TBS All-Star Kansha Matsuri 2003-Aki Chou Gouka! Quiz Ketteiban,Hudson Soft,Hudson Soft,25/09/2003,JP,TRUE,FALSE,FALSE,
TearRing Saga Series: Berwick Saga,Enterbrain,Enterbrain,26/05/2005,JP,TRUE,FALSE,FALSE,
Technicbeat,Arika,"Arika, Mastiff",07/11/2002,JP,FALSE,TRUE,FALSE,
Technictix,Arika,Arika,25/01/2001,JP,TRUE,FALSE,FALSE,
Tecmo Hit Parade,Tecmo,Tecmo,25/11/2004,JP,TRUE,FALSE,FALSE,
Teen Titans,Artificial Mind and Movement,THQ,24/05/2006,NA,FALSE,TRUE,FALSE,
Teenage Mutant Ninja Turtles,Konami,Konami,21/10/2003,NA,FALSE,TRUE,FALSE,
Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami,Konami,19/10/2004,NA,FALSE,TRUE,FALSE,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami,Konami,01/11/2005,NA,FALSE,TRUE,FALSE,
Teenage Mutant Ninja Turtles: Mutant Melee,Konami,Konami,14/10/2005,EU,FALSE,TRUE,FALSE,
Teenage Mutant Ninja Turtles: Smash-Up,Game Arts,Ubisoft,22/09/2009,NA,FALSE,TRUE,FALSE,
Teikoku Sensenki,Interchannel,Interchannel,25/11/2004,JP,TRUE,FALSE,FALSE,
Teitoku no Ketsudan IV with Power-Up Kit,Koei,Koei,26/02/2004,JP,TRUE,FALSE,FALSE,
Tekken 4,Namco,"NamcoJP, NA, Sony Computer EntertainmentEU",28/03/2002,JP,FALSE,TRUE,FALSE,
Tekken 5,Namco,Namco,24/02/2005,NA,FALSE,TRUE,TRUE,Base
Tekken Tag Tournament,Namco,"NamcoJP, NA, Sony Computer EntertainmentEU",30/03/2000,JP,FALSE,TRUE,TRUE,Platinum
Telly Addicts,Ubisoft,Ubisoft,23/11/2007,EU,FALSE,TRUE,FALSE,
Tenchu: Fatal Shadows,K2 LLC,"FromSoftwareAS, JP, KO, SegaEU, NA",22/07/2004,JP,FALSE,TRUE,FALSE,
Tenchu: Wrath of Heaven,K2 LLC,"FromSoftwareJP, KO, ActivisionEU, NA",03/03/2003,NA,FALSE,TRUE,FALSE,
Tengai,Psikyo,Taito,29/07/2005,KO,FALSE,TRUE,FALSE,
Tengai Makyō II: Manji Maru,Hudson Soft,Hudson Soft,02/10/2003,JP,TRUE,FALSE,FALSE,
Tengai Makyō III: Namida,Hudson Soft,Hudson Soft,14/04/2005,JP,TRUE,FALSE,FALSE,
Tenka-bito,Shade,Sega,02/03/2006,JP,TRUE,FALSE,FALSE,
Tenkuu Danzai Skelter Heaven,Design Factory,Idea Factory,25/11/2004,JP,TRUE,FALSE,FALSE,
Tennis Court Smash,HuneX,"D3 PublisherJP, AgetecEU",12/09/2002,JP,FALSE,TRUE,FALSE,
Tennis Masters Series 2003,Microids,Microids,25/07/2003,EU,FALSE,TRUE,FALSE,
Tennis no Oji-Sama: Card Hunter,WinkySoft,Konami,22/02/2007,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: DokiDoki Survival – Sanroku no Mystic,WinkySoft,Konami,21/12/2006,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: DokiDoki Survival – Umibe no Secret,WinkySoft,Konami,25/01/2007,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Gakuensai no Oji-Sama,WinkySoft,Konami,22/12/2005,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Kiss of Prince Flame,WinkySoft,Konami,30/10/2003,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Kiss of Prince Ice,WinkySoft,Konami,30/10/2003,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Love of Prince Bitter,WinkySoft,Konami,12/02/2004,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Love of Prince Sweet,WinkySoft,Konami,12/02/2004,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Rush & Dream!,Konami,Konami,09/12/2004,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Saikyou Team o Kessei Seyo!,Konami,Konami,16/09/2004,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Smash Hit!,Konami,Konami,24/07/2003,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Smash Hit! 2,Konami,Konami,18/12/2003,JP,TRUE,FALSE,FALSE,
Tennis no Oji-Sama: Sweat & Tears 2,Konami,Konami,25/09/2003,JP,TRUE,FALSE,FALSE,
"Tenohirao, Taiyouni: Eikyuu no Kizuna",PrincessSoft,PrincessSoft,25/03/2004,JP,TRUE,FALSE,FALSE,
Tensai Bit-Kun: Gramon Battle,Tose,Taito,18/09/2003,JP,TRUE,FALSE,FALSE,
Tensei Hakkenshi Fuumaroku,Vridge,Success,08/06/2006,JP,TRUE,FALSE,FALSE,
Tenshi no Present - Marl Ōkoku Monogatari,Nippon Ichi Software,Nippon Ichi Software,21/12/2000,JP,TRUE,FALSE,FALSE,
Tenshou Gakuen Gekkouroku,Asmik Ace,Asmik Ace,22/11/2006,JP,TRUE,FALSE,FALSE,
Tenshou Gakuen Gensouroku,Asmik Ace,Asmik Ace,27/05/2004,JP,TRUE,FALSE,FALSE,
Tentama 2: Wins,KID,KID,26/02/2004,JP,TRUE,FALSE,FALSE,
Tentama: 1st Sunnyside,KID,KID,30/10/2003,JP,TRUE,FALSE,FALSE,
Terminator 3: Rise of the Machines,Black Ops Entertainment,Atari,11/11/2003,NA,FALSE,TRUE,TRUE,Base
Terminator 3: The Redemption,Paradigm Entertainment,Atari,02/09/2004,NA,FALSE,TRUE,FALSE,
Terminator: Dawn of Fate,Paradigm Entertainment,Infogrames,16/09/2002,NA,FALSE,TRUE,FALSE,
Test Drive,Pitbull Syndicate,Atari,28/05/2002,NA,FALSE,TRUE,FALSE,
Test Drive Off-Road: Wide Open,Angel Studios,Infogrames,24/08/2001,NA,FALSE,TRUE,FALSE,
Test Drive Unlimited,Melbourne House,Atari,16/03/2007,PAL,FALSE,TRUE,TRUE,Base
Test Drive: Eve of Destruction,Monster Games,Atari,07/09/2004,NA,FALSE,TRUE,FALSE,
Tetris Worlds,Blue Planet Software,THQ,20/03/2002,NA,FALSE,TRUE,TRUE,Base
Tetris: Kiwame Michi,Blue Planet Software,THQ,18/12/2003,JP,TRUE,FALSE,FALSE,
Tetsu 1: Densha de Battle!,Vingt-et-un Systems,Syscom,05/07/2001,JP,TRUE,FALSE,FALSE,
Tetsujin 28-go,Sandlot,Bandai,01/07/2004,JP,TRUE,FALSE,FALSE,
The Adventures of Cookie & Cream,FromSoftware,Agetec Inc.,30/04/2001,NA,FALSE,TRUE,FALSE,
The Adventures of Darwin,Vingt-et-un Systems,D3 Publisher,27/04/2006,JP,FALSE,TRUE,FALSE,
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,13/09/2004,NA,FALSE,TRUE,FALSE,
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ,THQ,16/09/2003,NA,FALSE,TRUE,FALSE,
The Aka-Champion,Expotato,"D3 Publisher, SCE KoreaKO",29/12/2005,JP,TRUE,FALSE,FALSE,
The Ant Bully,Artificial Mind and Movement,Midway Games,24/07/2006,NA,FALSE,TRUE,FALSE,
The Bard's Tale,InXile Entertainment,"InXile EntertainmentNA, UbisoftEU",26/10/2004,NA,FALSE,TRUE,TRUE,Base
The Baseball 2002: Battle Ball Park Sengen,Konami,Konami,28/03/2002,JP,TRUE,FALSE,FALSE,
The Baseball 2003,Konami,Konami,20/03/2003,JP,TRUE,FALSE,FALSE,
The Baseball 2003: Akikigou,Konami,Konami,04/09/2003,JP,TRUE,FALSE,FALSE,
The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,Dimps Corporation,Banpresto,11/01/2007,JP,TRUE,FALSE,FALSE,
The Bible Game,Crave Entertainment,Crave Entertainment,23/10/2005,NA,FALSE,TRUE,FALSE,
The Bigs,Blue Castle Games,2K Sports,25/06/2007,NA,FALSE,TRUE,FALSE,
The Bigs 2,Blue Castle Games,2K Sports,07/07/2009,NA,FALSE,TRUE,FALSE,
The Bishoujou Simulation RPGJP,Yuki,D3 Publisher,24/04/2003,JP,TRUE,FALSE,FALSE,
The Boku no Machidzukuri 2 – Machi-ing Maker 2.12.1JP,Indi,D3 Publisher,29/11/2007,JP,TRUE,FALSE,FALSE,
The Bouncer,DreamFactory,"SquareSoftJP, Square EANA, Sony Computer EntertainmentEU",23/12/2000,JP,FALSE,TRUE,FALSE,
The Bushido,ALU,D3 Publisher,29/05/2003,JP,TRUE,FALSE,FALSE,
The Chronicles of Narnia: Prince Caspian,Traveller's Tales,Disney Interactive Studios,15/05/2008,NA,FALSE,TRUE,FALSE,
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",Traveller's Tales,"Buena Vista GamesEU, NA, D3 PublisherJP",14/11/2005,NA,FALSE,TRUE,TRUE,Base
The Conveni 3,Hamster Corporation,Hamster Corporation,24/04/2003,JP,TRUE,FALSE,FALSE,
The Conveni 4,Hamster Corporation,Hamster Corporation,27/04/2006,JP,TRUE,FALSE,FALSE,
The Da Vinci Code,The Collective,2K Games,15/05/2006,NA,FALSE,TRUE,TRUE,Base
The Dog Island,Yuke's,"Yuke'sJP, UbisoftNA, PAL",26/04/2007,JP,FALSE,TRUE,FALSE,
The Double Mahjong Puzzle,Metro Corporation,D3 Publisher,25/04/2002,JP,TRUE,FALSE,FALSE,
The Dukes of Hazzard: Return of the General Lee,Ratbag Games,Ubisoft,28/09/2004,NA,FALSE,TRUE,FALSE,
The Fairly OddParents: Breakin' Da Rules,Blitz Games,THQ,03/11/2003,NA,FALSE,TRUE,FALSE,
The Fairly OddParents: Shadow Showdown,Blitz Games,THQ,08/09/2004,NA,FALSE,TRUE,FALSE,
The Fantasy Renai Adventure: Kanojo no DensetsuDensetsuJP,S-Neo,D3 Publisher,17/02/2005,JP,TRUE,FALSE,FALSE,
The Fast and the Furious,Eutechnyx,Namco Bandai Games,26/09/2006,NA,FALSE,TRUE,FALSE,
The Fear,Digital Frontier,Enix Corporation,26/07/2001,JP,TRUE,FALSE,FALSE,
The Flintstones in Viva Rock Vegas,Toka,Swing! Deutschland,06/07/2001,EU,FALSE,TRUE,FALSE,
The Flintstones: Bedrock Racing,"Coyote Console, Beyond Reality",Blast! Entertainment Ltd,02/10/2007,EU,FALSE,TRUE,FALSE,
The Gekai,Vingt-et-un Systems,D3 Publisher,02/09/2004,JP,TRUE,FALSE,FALSE,
The Getaway,Team Soho,Sony Computer Entertainment,11/12/2002,PAL,FALSE,TRUE,TRUE,Base
The Getaway: Black Monday,London Studio,Sony Computer Entertainment,12/11/2004,PAL,FALSE,TRUE,TRUE,Base
The Godfather,Page 44 Studios,Electronic Arts,03/03/2006,KO,FALSE,TRUE,TRUE,Base
The Golden Compass,Shiny Entertainment,Sega,30/11/2007,NA,FALSE,TRUE,FALSE,
The Great British Football Quiz,Liquid Games,Oxygen Games,07/10/2005,EU,FALSE,TRUE,FALSE,
The Great Escape,Pivotal Games,"SCiEU, Gotham GamesNA, Marvelous EntertainmentJP",29/08/2003,EU,FALSE,TRUE,TRUE,Base
The Grim Adventures of Billy & Mandy,High Voltage Software,Midway Games,25/09/2006,NA,FALSE,TRUE,FALSE,
The Guy Game,Topheavy Studios,Gathering of Developers,31/08/2004,NA,TRUE,TRUE,FALSE,
The Hajimete no RPG,HuneX,D3 Publisher,29/01/2004,JP,TRUE,FALSE,FALSE,
The Hanasou Eigo no Tabi,HuneX,D3 Publisher,14/04/2005,JP,TRUE,FALSE,FALSE,
The Hanasou Kankokugo no Tabi,HuneX,D3 Publisher,14/04/2005,JP,TRUE,FALSE,FALSE,
The Haunted Mansion,High Voltage Software,"TDK MediactiveNA/EU, Yuke'sJP",14/10/2003,NA,FALSE,TRUE,FALSE,
The History Channel: Battle for the Pacific,Sand Grain Studios,Activision,04/12/2007,NA,FALSE,TRUE,TRUE,Base
The History Channel: Civil War - A Nation Divided,Cauldron,Activision,07/11/2006,NA,FALSE,TRUE,FALSE,
The History Channel: Civil War: Secret Missions,Cauldron,Activision,04/11/2008,NA,FALSE,TRUE,FALSE,
The History Channel: Great Battles of Rome,Slitherine,Black Bean Games,08/06/2007,EU,FALSE,TRUE,FALSE,
The Hobbit,Inevitable Entertainment,"Sierra EntertainmentEU, NA, KonamiJP",11/11/2003,NA,FALSE,TRUE,FALSE,
The Hustle: Detroit Streets,Blade Interactive,Activision,26/04/2006,NA,FALSE,TRUE,FALSE,
The Igo,Yuki,D3 Publisher,25/06/2002,JP,TRUE,FALSE,FALSE,
The Incredible Hulk,Edge of Reality,Sega,05/06/2008,NA,FALSE,TRUE,FALSE,
