Title,Developer,Publisher,first_released,region_first_released_in,Excluded,released_in_eu_pal_or_na,Physical_Owned,type_owned
Garou: Mark of the Wolves,SNK Playmore,SNK Playmore,30/06/2005,JP,TRUE,FALSE,FALSE,
Garouden Breakblow,Opus,ESP Software,17/11/2005,JP,TRUE,FALSE,FALSE,
Garouden Breakblow: Fist or Twist,Opus,ESP Software,15/03/2007,JP,TRUE,FALSE,FALSE,
Gauntlet: Dark Legacy,Midway Games West,Midway Games,01/05/2001,NA,FALSE,TRUE,FALSE,
Gauntlet: Seven Sorrows,Midway Games,Midway Games,12/12/2005,NA,FALSE,TRUE,FALSE,
Gecko Blaster,Phoenix Games,Phoenix Games,01/12/2007,EU,FALSE,TRUE,FALSE,
Gegege no Kitarou: Ibun Youkai Kitan,WinkySoft,Konami,11/12/2003,JP,TRUE,FALSE,FALSE,
Gekikuukan Pro Yakyuu: At the End of the Century 1999,SquareSoft,SquareSoft,07/09/2000,JP,TRUE,FALSE,FALSE,
Gekitou Pro Yakyuu,Wow Entertainment,Sega,11/09/2003,JP,TRUE,FALSE,FALSE,
Gendai Daisenryaku: Isshoku Sokuhatsu - Gunji Balance Houkai,SystemSoft,SystemSoft,27/08/2009,JP,TRUE,FALSE,FALSE,
Gene Troopers,Caludron Ltd.,Playlogic,25/12/2006,NA,FALSE,TRUE,FALSE,
Generation of Chaos,Idea Factory,Idea Factory,09/08/2001,JP,TRUE,FALSE,FALSE,
Generation of Chaos Desire,Idea Factory,Idea Factory,27/09/2007,JP,TRUE,FALSE,FALSE,
Generation of Chaos III: Toki no Fuuin,Idea Factory,Idea Factory,08/05/2003,JP,TRUE,FALSE,FALSE,
Generation of Chaos IV,Idea Factory,Idea Factory,22/04/2004,JP,TRUE,FALSE,FALSE,
Generation of Chaos Next,Idea Factory,Idea Factory,25/04/2002,JP,TRUE,FALSE,FALSE,
Genji: Dawn of the Samurai,Game Republic,Sony Computer Entertainment,28/06/2005,AS,FALSE,TRUE,FALSE,
Genshi no Kotoba,Sony Computer Entertainment,Sony Computer Entertainment,18/10/2001,JP,TRUE,FALSE,FALSE,
Georama Sensen Ijou Nashi: Stalingrad e no Michi,Marionette,Marionette,23/06/2005,JP,TRUE,FALSE,FALSE,
George of the Jungle and the Search for the Secret,Crave Entertainment,"Crave EntertainmentNA, Ignition EntertainmentEU",18/03/2008,NA,FALSE,TRUE,FALSE,
Germany's Next Topmodel 2009,SevenOne Intermedia,SevenOne Intermedia,21/05/2009,EU,FALSE,TRUE,FALSE,
Get On Da Mic,A2M,Eidos Interactive,05/10/2004,NA,FALSE,TRUE,FALSE,
Get Ride! AMDriver: Soukoku no Shinjitsu,WinkySoft,Konami,24/03/2005,JP,TRUE,FALSE,FALSE,
GetBackers Dakkanya: Dakkandayo! Zenin Shuugou!!,Konami,Konami,16/01/2003,JP,TRUE,FALSE,FALSE,
GetBackers Dakkanya: Ubawareta Mugenjou,Konami,Konami,26/09/2002,JP,TRUE,FALSE,FALSE,
GetBackers Dakkanya: Urashinshiku Saikyou Battle,Konami,Konami,29/04/2004,JP,TRUE,FALSE,FALSE,
Getsumento Heiki Mina: Futatsu no Project M,Idea Factory,Idea Factory,26/07/2007,JP,TRUE,FALSE,FALSE,
Ghost in the Shell: Stand Alone Complex,Cavia,"Sony Computer EntertainmentJP, KO, BandaiNA, PAL",04/03/2004,JP,FALSE,TRUE,FALSE,
Ghost Master: The Gravenville Chronicles,Empire Interactive,Empire Interactive,27/08/2004,EU,FALSE,TRUE,FALSE,
Ghost Rider,Climax Group,2K Games,13/02/2007,NA,FALSE,TRUE,FALSE,
Ghost Vibration,Artoon,"Eidos InteractiveJP, InfogramesEU",04/07/2002,JP,FALSE,TRUE,FALSE,
Ghostbusters: The Video Game,Red Fly Studio,"AtariNA, Sony Computer EntertainmentPAL",16/06/2009,NA,FALSE,TRUE,FALSE,
Ghosthunter,SCE Studio Cambridge,"Sony Computer EntertainmentEU, NamcoNA, Electronic ArtsJP",05/12/2003,EU,FALSE,TRUE,FALSE,
Giant Robo: The Animation - Chikyuu ga Seishisuru Hi,Tamsoft,D3 Publisher,03/11/2004,JP,TRUE,FALSE,FALSE,
Giants: Citizen Kabuto,Planet Moon Studios,Interplay Entertainment,20/12/2001,NA,FALSE,TRUE,FALSE,
Gift,EKO Software,Cryo Interactive,06/07/2001,EU,FALSE,TRUE,FALSE,
Gift: Prism,Moonstone,Sweets,19/10/2006,JP,TRUE,FALSE,FALSE,
Gigawing Generations,Takumi Corporation,"TaitoJP, 505 Game StreetEU",24/03/2005,JP,FALSE,TRUE,FALSE,
Gin no Eclipse,NIne'sFox,NIne'sFox,31/07/2008,JP,TRUE,FALSE,FALSE,
Gintama Gin-San to Issho! Boku no Kabuki Machi Nikki,Bandai Namco Games,Bandai Namco Games,30/08/2007,JP,TRUE,FALSE,FALSE,
Girl Zone,Mere Mortals,Phoenix Games,2005,EU,FALSE,TRUE,FALSE,
Girls Bravo: Romance 15's,Kadokawa Games,Kadokawa Games,27/01/2005,JP,TRUE,FALSE,FALSE,
GitaDora! Guitar Freaks 4th Mix & DrumMania 3rd Mix,Konami,Konami,20/09/2001,JP,TRUE,FALSE,FALSE,
Gitaroo Man,Koei/Inis,Koei,21/06/2001,JP,FALSE,TRUE,FALSE,
Gladiator: Sword of Vengeance,Acclaim Studios Manchester,Acclaim Entertainment,05/11/2003,NA,FALSE,TRUE,FALSE,
Gladius,LucasArts,"LucasArtsNA, ActivisionEU",28/10/2003,NA,FALSE,TRUE,FALSE,
Glass Rose,Cing,Capcom,06/11/2003,JP,FALSE,TRUE,FALSE,
Global Defence Force,Sandlot,"D3 PublisherJP, KO, Essential GamesEU",28/07/2005,JP,FALSE,TRUE,FALSE,
Global Defence Force: Tactics,Sandlot,"D3 PublisherJP, Essential GamesEU",27/07/2006,JP,FALSE,TRUE,FALSE,
Global Folktale,Idea Factory,Idea Factory,25/10/2001,JP,TRUE,FALSE,FALSE,
Global Touring Challenge: Africa,Rage Software,"XplosivPAL, Majesco EntertainmentNA, SuccessJP",16/11/2001,EU,FALSE,TRUE,FALSE,
Go Go Copter,Aqua Systems,"Aqua SystemsJP, Empire InteractiveEU",13/03/2003,JP,FALSE,TRUE,FALSE,
Go Go Golf,Mahou,"MahouJP, Midas Interactive EntertainmentEU",21/09/2000,JP,FALSE,TRUE,TRUE,Base
Go Kart Rally,Phoenix Games,Phoenix Games,20/04/2007,EU,FALSE,TRUE,FALSE,
"Go, Diego, Go! Great Dinosaur Rescue",High Voltage Software,2K Play,27/10/2008,NA,FALSE,TRUE,FALSE,
"Go, Diego, Go! Safari Rescue",High Voltage Software,2K Play,11/02/2008,NA,FALSE,TRUE,FALSE,
Goblin Commander: Unleash the Horde,Jaleco Entertainment,Jaleco Entertainment,11/11/2003,NA,FALSE,TRUE,FALSE,
Gobuato no Sekai,Media Factory,Media Factory,02/08/2001,JP,TRUE,FALSE,FALSE,
God Hand,Clover Studio,Capcom,14/09/2006,JP,FALSE,TRUE,FALSE,
God of War,Santa Monica Studio,"Sony Computer EntertainmentKO, NA, PAL, CapcomJP",22/03/2005,NA,FALSE,TRUE,FALSE,
God of War II,Santa Monica Studio,"Sony Computer EntertainmentKO, NA, PAL, CapcomJP",13/03/2007,NA,FALSE,TRUE,FALSE,
Godai Elemental Force,3DO,3DO,21/01/2002,NA,FALSE,TRUE,FALSE,
